model,quality_macro_f1,quality_roc_auc,quality_accuracy,hr_mae,hr_rmse
Majority class,0.44941348973607037,0.5,0.8162450066577897,,
Median HR,,,,11.956521739130435,16.071849545901273
Dominant-frequency HR,,,,26.985507246376812,36.793981864555995
Features + LogReg/XGBoost,0.6316262496162939,0.6610634323947325,0.7936085219707057,9.763549859972967,13.559255847865568
1D-CNN / ResNet1D,0.627864512625577,0.6719566399508239,0.8055925432756325,13.960456347826087,17.55570746681063
OpenTSLM-1B,0.44941348973607037,,0.8162450066577897,11.405797101449275,14.925903949029426
OpenTSLM (ECG),,,,,
SIGMA-PPG,0.6195131677436858,0.7055110291510036,0.7936085219707057,11.760344949275362,15.720649653619926
